N14BedMattress0 | Y | mattress | N14Bed | _Nuclear14\Recipes\Construction\furniture.yml
N14HydroponicsPlanter | Y | planter | N14Planter | _Nuclear14\Recipes\Construction\hydroponics.yml
N14DoorMakeshift | Y | wooden door | N14DoorGraph | _Nuclear14\Recipes\Construction\structures.yml
N14DoorWoodSlanted | Y | wooden door | N14DoorGraph | _Nuclear14\Recipes\Construction\structures.yml
N14WallWoodHalf | Y | wooden half wall | N14HalfWall | _Nuclear14\Recipes\Construction\structures.yml
N14WallWoodLog | Y | log wall | N14WoodWall | _Nuclear14\Recipes\Construction\structures.yml
N14WindowSlanted | Y | window pane | N14WindowPane | _Nuclear14\Recipes\Construction\structures.yml
N14LightSmallEmpty | Y | small light | N14Lightbulb | _Nuclear14\Recipes\Construction\utilities.yml
N14TorchWall | Y | wall torch | WallTorch | _Nuclear14\Recipes\Construction\utilities.yml
N14ClothingHandsGlovesCloth | Y | cloth gloves | GlovesClothGraph | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingHeadHatNightstalker | Y | nightstalker hat | NightstalkerhatGraph | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingMaskBlackMask | Y | black bandana | blackbandana | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingMaskBrownMask | Y | brown bandana | brownbandana | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingMaskDesertMask | Y | grey bandana | greybandana | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingNeckCloakLeather | Y | leather cloak | LeatherCloakGraph | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingNeckCloakYaoguai | Y | Yao Guai cloak | YaoguaiCloakGraph | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingNeckMantleLeather | Y | leather mantle | LeatherMantleGraph | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingOuterCoatFollowersArmored | Y | Followers armored coat | CoatFollowersArmoredGraph | _Nuclear14\Recipes\Crafting\clothing.yml
N14ClothingUniformJumpsuitRags | Y | wastelander rags | WastelanderRagsGraph | _Nuclear14\Recipes\Crafting\clothing.yml
MaterialCardboard | Y | cardboard | N14Cardboard | _Nuclear14\Recipes\Crafting\materials.yml
N14MortarpestleGrinder | Y | mortar & pestle | N14MortarPestle | _Nuclear14\Recipes\Crafting\medical.yml
N14LegionnaireBuckler | Y | legionnaire buckler | N14LegionnaireBuckler | _Nuclear14\Recipes\Crafting\shields.yml
N14ShieldMetalHeavy | Y | heavy shield | N14HeavyShield | _Nuclear14\Recipes\Crafting\shields.yml
N14ShieldMetalLight | Y | light shield | N14LightShield | _Nuclear14\Recipes\Crafting\shields.yml
N14DecorationFlagBearerEmpty | Y | NO NAME | DecorationFlagEmpty | Corvax\Recipes\Crafting\Construction\flags.yml
N14DecorationFlagBrotherhoodMidwest | Y | Flag of the Brotherhood of Steel | DecorationFlagBrotherhoodMidwest | Corvax\Recipes\Crafting\Construction\flags.yml
N14DecorationFlagFollowers | Y | Flag of the Followers of the Apocalypse | DecorationFlagFollowers | Corvax\Recipes\Crafting\Construction\flags.yml
N14DecorationFlagGunner | Y | Flag of the Gunner Mercenary Corps | DecorationFlagGunner | Corvax\Recipes\Crafting\Construction\flags.yml
N14DecorationFlagLegion | Y | Flag of Caesar's Legion | DecorationFlagLegion | Corvax\Recipes\Crafting\Construction\flags.yml
N14DecorationFlagLocust | Y | Flag of the Locust Tribe | DecorationFlagLocust | Corvax\Recipes\Crafting\Construction\flags.yml
N14DecorationFlagNCR | Y | Flag of the New California Republic | DecorationFlagNCR | Corvax\Recipes\Crafting\Construction\flags.yml
AltarChaos | Y | chaos altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvert | Y | convert altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertBlue | Y | blue altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertBurden | Y | burden altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertFestival | Y | festival altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertMaint | Y | maint altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertOrange | Y | orange altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertRed | Y | red altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertWhite | Y | white altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarConvertYellow | Y | yellow altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarDruid | Y | druid altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarFangs | Y | fanged altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarHeaven | Y | heaven altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarNanotrasen | Y | nanotrasen altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarSatana | Y | satanic altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarSpaceChristian | Y | space-christian altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarTechnology | Y | technology altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
AltarToolbox | Y | toolbox altar | Altar | Nyanotrasen\Recipes\Construction\furniture.yml
ShuttleWindow | Y | shuttle window | Window | Nyanotrasen\Recipes\Construction\structures.yml
ClothingBeltQuiver | Y | quiver | Quiver | Recipes\Construction\clothing.yml
ClothingEyesHudMedSec | Y | medsec hud | HudMedSec | Recipes\Construction\clothing.yml
ClothingShoeSlippersDuck | Y | ducky slippers | ClothingShoeSlippersDuck | Recipes\Construction\clothing.yml
Bed | Y | bed | bed | Recipes\Construction\furniture.yml
Bookshelf | Y | bookshelf | Bookshelf | Recipes\Construction\furniture.yml
Chair | Y | chair | Seat | Recipes\Construction\furniture.yml
ChairBrass | Y | brass chair | Seat | Recipes\Construction\furniture.yml
ChairFolding | Y | folding chair | Seat | Recipes\Construction\furniture.yml
ChairMeat | Y | meat chair | Seat | Recipes\Construction\furniture.yml
ChairOfficeDark | Y | dark office chair | Seat | Recipes\Construction\furniture.yml
ChairOfficeLight | Y | office chair | Seat | Recipes\Construction\furniture.yml
ChairRitual | Y | ritual chair | RitualSeat | Recipes\Construction\furniture.yml
ChairWood | Y | wooden chair | Seat | Recipes\Construction\furniture.yml
CurtainsBlack | Y | black curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsBlue | Y | blue curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsCyan | Y | cyan curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsGreen | Y | green curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsOrange | Y | orange curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsPink | Y | pink curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsPurple | Y | purple curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsRed | Y | red curtains | Curtains | Recipes\Construction\furniture.yml
CurtainsWhite | Y | white curtains | Curtains | Recipes\Construction\furniture.yml
DogBed | Y | dog bed | bed | Recipes\Construction\furniture.yml
Dresser | Y | dresser | Dresser | Recipes\Construction\furniture.yml
MedicalBed | Y | medical bed | bed | Recipes\Construction\furniture.yml
NoticeBoard | Y | notice board | NoticeBoard | Recipes\Construction\furniture.yml
Rack | Y | rack | Rack | Recipes\Construction\furniture.yml
Stool | Y | stool | Seat | Recipes\Construction\furniture.yml
StoolBar | Y | bar stool | Seat | Recipes\Construction\furniture.yml
Table | Y | steel table | Table | Recipes\Construction\furniture.yml
TableBrass | Y | brass table | Table | Recipes\Construction\furniture.yml
TableCarpet | Y | poker table | Table | Recipes\Construction\furniture.yml
TableCounterMetal | Y | metal counter | Table | Recipes\Construction\furniture.yml
TableCounterWood | Y | wood counter | Table | Recipes\Construction\furniture.yml
TableFancyBlack | Y | fancy black table | Table | Recipes\Construction\furniture.yml
TableFancyBlue | Y | fancy blue table | Table | Recipes\Construction\furniture.yml
TableFancyCyan | Y | fancy cyan table | Table | Recipes\Construction\furniture.yml
TableFancyGreen | Y | fancy green table | Table | Recipes\Construction\furniture.yml
TableFancyOrange | Y | fancy orange table | Table | Recipes\Construction\furniture.yml
TableFancyPink | Y | fancy pink table | Table | Recipes\Construction\furniture.yml
TableFancyPurple | Y | fancy purple table | Table | Recipes\Construction\furniture.yml
TableFancyRed | Y | fancy red table | Table | Recipes\Construction\furniture.yml
TableFancyWhite | Y | fancy white table | Table | Recipes\Construction\furniture.yml
TableGlass | Y | glass table | Table | Recipes\Construction\furniture.yml
TablePlasmaGlass | Y | plasma glass table | Table | Recipes\Construction\furniture.yml
TableReinforced | Y | reinforced steel table | Table | Recipes\Construction\furniture.yml
TableReinforcedGlass | Y | reinforced glass table | Table | Recipes\Construction\furniture.yml
TableWood | Y | wood table | Table | Recipes\Construction\furniture.yml
ToiletEmpty | Y | toilet | Toilet | Recipes\Construction\furniture.yml
MachineFrame | Y | machine frame | Machine | Recipes\Construction\machines.yml
SignalButtonRecipe | Y | signal button | SignalButtonGraph | Recipes\Construction\machines.yml
TwoWayLeverRecipe | Y | two-way lever | LeverGraph | Recipes\Construction\machines.yml
MaterialDurathread | Y | durathread | Durathread | Recipes\Construction\materials.yml
SheetClockworkGlass | Y | clockwork glass | Glass | Recipes\Construction\materials.yml
SheetPGlass | Y | plasma glass | Glass | Recipes\Construction\materials.yml
SheetRGlass | Y | reinforced glass | Glass | Recipes\Construction\materials.yml
SheetRPGlass | Y | reinforced plasma glass | Glass | Recipes\Construction\materials.yml
SheetRPGlass1 | Y | reinforced plasma glass | Glass | Recipes\Construction\materials.yml
SheetRUGlass | Y | reinforced uranium glass | Glass | Recipes\Construction\materials.yml
SheetRUGlass1 | Y | reinforced uranium glass | Glass | Recipes\Construction\materials.yml
SheetUGlass | Y | uranium glass | Glass | Recipes\Construction\materials.yml
